Comment,Designator,Footprint,LCSC Part #
0.1uF,D3 J3 Q3 C1 C2 C5 C6 C7 C8 C9 C10 C11 C14 C17 C21 C22 C25 C26 C27 C28 C29 C30 C34 C36 C38 C39 C40 C41 C42 C44 C45 C46 C49 C50 C51 C52,0402,
1.0uF,C3 C4 C32,0402,
1K,R2 R6 R14 R15,0402,
1KOHM-0402-1/16W-1%,R7,0402,
1M,R23 R24,0402,
1N4148,D1,SOD-323,
1N5819,D2,SOD-323,
1nF,C33,0402,
2.2K,R12 R21 R22,0402,
5.1k,R9 R10,0402,
10UF0402,C20 C23 C24 C31 C35 C37,0402,
10k,R13 R18 R20,0402,
12pF,C12 C13 C47 C48,0402,
16.9K,R19,0402,
27OHM0402,R1 R3,0402,
100OHM,R4 R16 R17,0402,
470,R25,0402,
60312202114511,J4 J5,60312202114511,
ADM3260ARSZ,U6,SSOP20,
AS3935-BQFT,U9,QFN65P400X400X80-17N,
BME690,U5,IC_BME688,
BSS138,Q1 Q2,SOT95P240X111-3N,
DNF,R5 R11,0402,
ENS210-LQFM,U7,XDCR_ENS210-LQFM,
ESP32-C3-MINI-1-N4,U3,XCVR_ESP32-C3-MINI-1-N4,
LQW18AN2N2D10D,L2,INDC1608X100N,
MA5532-AE,L3,MA5532-AE,
MIC5504-3.3YM5-T5,U4,SOT95P280X145-5N,
MLT-8530,LS1,XDCR_CMT-8504-100-SMT-TR,
MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,!BOOT RESET USER_BUTTON,TACTILE_SWITCH_SMD_4.6X2.8MM,
OPS-S56AAF5,U11 U12 U13 U14,OPS-S56AAF5,
PCF8563T/F4 118,U10,SOIC127P600X175-8N,
PH-OEM,U$2 U$3,PH_SENSOR,
Q13FC1350000400,XTAL1,XTAL_FC-135_EPS,
RP2040,U1,QFN40P700X700X90-57N,
RSCSK2043R3D01004T,C43,RSCSK2043R3D01004T,
SFH6325-X017TEL0631,U8,SOIC127P599X175-8N,
SM03B-SRSS-TB(LF)(SN),J1,JST_SM03B-SRSS-TB(LF)(SN),
SN74LVC1T45DBVRG4,U15,SOT95P280X145-6N,
TF-123-ARP9HXX,U$1,MICROSDCARD,
TPB1 27,3.3V,B1 27,
TPB1 27,GND,B1 27,
TSM-102-02-S-SH,J6,SAMTEC_TSM-102-02-S-SH,
TYPE-C-31-M-12,J2,HRO_TYPE-C-31-M-12,
V_USB,USB,B1 27,
W25Q64JVXGIQ,IC1,SON80P400X400X50-9N,
