Designator,Mid X,Mid Y,Layer,Rotation
!BOOT,5.79,32.38,Top,0
C1,16.43,11.3,Top,270
C2,8.94,29.03,Top,90
C3,16.1,27.25,Top,90
C4,17.5,27.25,Top,90
C5,5.51,22.07,Top,180
C6,18.92,27.25,Top,90
C7,5.46,18.44,Top,180
C8,20.85,22.07,Top,0
C9,21.56,18.49,Top,0
C10,10.36,29.01,Top,90
C11,15.04,11.3,Top,270
C12,14.22,9.32,Top,180
C13,9.32,12.32,Top,90
C14,11.81,29.01,Top,90
C17,6.2,29.36,Top,270
C20,38.58,9.07,Top,90
C21,17.27,30.15,Top,90
C22,22.56,29.59,Top,0
C23,24.56,26.39,Top,180
C24,23.93,22.15,Top,180
C25,-33.12,-12.32,Top,270
C26,-32.13,-6.05,Top,180
C27,-32.05,-4.47,Top,180
C28,-19.53,26.09,Top,240
C29,-30.02,8.46,Top,180
C30,37.19,9.07,Top,90
C31,-35.41,2.95,Top,90
C32,-33.45,-2.36,Top,180
C33,-36.75,0.43,Top,270
C34,-1.8,-13.46,Top,180
C35,-3.86,-12.88,Top,270
C36,0.97,-12.88,Top,270
C37,5.08,-20.4,Top,0
C38,5.05,-18.97,Top,0
C39,-5.23,-21.54,Top,180
C40,-22.71,-27.74,Top,0
C41,7.04,-27.23,Top,0
C42,10.08,-14.88,Top,0
C43,-9.98,33.73,Top,240
C44,22.15,11.96,Top,180
C45,22.12,10.54,Top,0
C46,-5.59,25.43,Top,270
C47,-16.76,28.32,Top,180
C48,-17.75,22.61,Top,0
C49,5.74,-12.98,Top,180
C50,21.13,-12.98,Top,0
C51,-7.19,-13.21,Top,180
C52,-18.75,-13.26,Top,0
D1,-18.21,17.7,Top,270
D2,-7.34,24.84,Top,270
D3,-1.83,25.73,Top,90
IC1,4.29,25.63,Top,0
J1,28.63,9.78,Top,180
J2,13.72,37.72,Top,180
J3,-28.85,-9.86,Top,0
L2,19.63,29.59,Top,0
L3,-39.52,-1.27,Top,90
LS1,-11.13,15.34,Top,0
Q1,-8.56,-17.2,Top,0
Q2,-18.29,11.13,Top,0
Q3,11.53,11.81,Top,270
R1,14.71,27.25,Top,90
R2,25.2,31.72,Top,270
R3,13.31,27.25,Top,90
R4,-1.24,23.5,Top,180
R6,1.85,29.36,Top,270
R7,13.64,11.3,Top,90
R9,7.19,36.47,Top,0
R10,20.4,36.37,Top,180
R12,-25.22,-8.18,Top,0
R13,29.11,-2.9,Top,270
R14,18.57,-16.31,Top,0
R15,18.57,-14.88,Top,0
R16,18.59,-18.49,Top,180
R17,10.13,-18.54,Top,0
R18,-35.36,0.43,Top,90
R19,-5.21,-20.12,Top,180
R20,-5.23,-18.69,Top,0
R21,7.47,-22.15,Top,90
R22,24.82,-27.33,Top,0
R23,-5.28,-16.59,Top,90
R24,-3.66,16.87,Top,180
R25,-21.11,11.51,Top,270
RESET,21.67,32.54,Top,0
U$1,-26.39,31.12,Top,240
U1,12.01,19.48,Top,0
U3,38.86,0.89,Top,270
U4,21.46,25.15,Top,270
U5,-29.03,-5.66,Top,0
U6,0,-19.05,Top,180
U7,-26.39,8,Top,0
U8,14.43,-16.03,Top,90
U9,-31.88,1.27,Top,0
U10,-12.22,24.08,Top,0
U11,21.18,-1.6,Top,0
U12,8.59,-1.6,Top,0
U13,-4.09,-1.6,Top,0
U14,-16.76,-1.6,Top,0
U15,19,11.89,Top,270
USER_BUTTON,-2.74,20.27,Top,0
XTAL1,-17.48,25.45,Top,90
