Designator,Mid X,Mid Y,Layer,Rotation
!BOOT, 5.79,32.38,Top,0.0
3.3V,25.73,24.03,Top,0.0
C1,11.89,25.88,Top,90.0
C2,10.95,25.88,Top,90.0
C3, 7.87,11.76,Top,270.0
C4,19.25,19.61,Top,0.0
C5,19.25,18.67,Top,0.0
C6,19.25,16.54,Top,0.0
C7,19.23,15.54,Top,0.0
C8, 6.43,17.86,Top,180.0
C9, 6.38,21.13,Top,180.0
C10,19.18,21.97,Top,0.0
C11,15.80,25.10,Top,0.0
C12,15.77,24.10,Top,0.0
C13,19.25,17.73,Top,0.0
C14,14.76,12.09,Top,270.0
C15, 2.24,17.98,Top,270.0
C16, 8.43,28.60,Top,0.0
C17, 9.04,25.27,Top,180.0
C18,14.12, 9.88,Top,0.0
C19, 9.09,11.51,Top,270.0
C20,38.61, 9.02,Top,90.0
C21,17.58,29.24,Top,90.0
C22,22.50,29.24,Top,90.0
C23,24.21,26.39,Top,180.0
C24,22.99,22.45,Top,180.0
C25,-32.99,-12.24,Top,270.0
C26,-32.03,-6.05,Top,180.0
C27,-32.03,-4.42,Top,180.0
C28,-19.53,26.09,Top,240.0
C29,-30.02, 8.46,Top,180.0
C30,37.39, 9.09,Top,90.0
C31,-35.71, 2.74,Top,90.0
C32,-33.45,-2.36,Top,180.0
C33,-36.55, 0.36,Top,270.0
C34,-2.87,-13.64,Top,0.0
C35,-2.87,-12.70,Top,0.0
C36, 0.97,-13.03,Top,270.0
C37, 5.00,-19.94,Top,0.0
C38, 5.05,-18.97,Top,0.0
C39,-5.08,-20.96,Top,180.0
C40,-22.71,-27.74,Top,0.0
C41, 7.04,-27.23,Top,0.0
C42,10.52,-14.88,Top,0.0
C43,-9.98,33.73,Top,240.0
C44,22.15,11.96,Top,180.0
C45,22.12,10.54,Top,0.0
C46,-5.59,25.43,Top,270.0
C47,-16.76,28.32,Top,180.0
C48,-17.75,22.61,Top,0.0
C49, 5.74,-12.98,Top,180.0
C50,21.13,-12.98,Top,0.0
C51,-7.19,-13.21,Top,180.0
C52,-18.75,-13.26,Top,0.0
D1,-18.21,17.70,Top,270.0
D2,-7.34,24.84,Top,270.0
GND,24.89,18.92,Top,0.0
IC1, 5.33,24.03,Top,0.0
J1,28.63, 9.78,Top,180.0
J2,13.72,37.72,Top,180.0
J3,-28.85,-9.86,Top,0.0
J4,-13.87,-36.45,Top,0.0
J5,15.04,-35.74,Top,0.0
J6, 0.69,-31.95,Top,180.0
L1,16.26,26.47,Top,180.0
L2,20.14,28.65,Top,0.0
L3,-39.37,-1.27,Top,90.0
LS1,-11.13,15.34,Top,0.0
Q1,-8.59,-17.17,Top,270.0
Q2,-17.86,10.95,Top,0.0
R1,19.43,20.78,Top,180.0
R2,25.20,31.72,Top,270.0
R3,12.83,25.88,Top,270.0
R4,13.77,25.88,Top,270.0
R5, 1.04,26.82,Top,180.0
R6, 1.04,25.20,Top,0.0
R7, 2.31,29.18,Top,270.0
R8,13.54,11.84,Top,90.0
R9,11.43,29.21,Top,90.0
R10,16.10,29.21,Top,90.0
R11,-24.31,-11.33,Top,0.0
R12,-25.22,-8.18,Top,0.0
R13,29.11,-2.90,Top,270.0
R14,18.57,-16.31,Top,0.0
R15,18.57,-14.88,Top,0.0
R16,18.34,-17.50,Top,180.0
R17,11.18,-18.01,Top,270.0
R18,-35.31, 0.43,Top,90.0
R19,-5.26,-19.76,Top,180.0
R20,-5.11,-18.54,Top,0.0
R21, 7.47,-22.15,Top,90.0
R22,24.82,-27.33,Top,0.0
R23,-5.28,-16.59,Top,90.0
R24, 6.17,16.69,Top,180.0
R25,-20.02,10.59,Top,90.0
RESET,21.67,32.54,Top,0.0
U$1,-26.39,31.12,Top,240.0
U$2,-13.84,-27.69,Top,0.0
U$3,15.75,-27.30,Top,0.0
U1,12.70,19.05,Top,0.0
U2, 5.46,27.86,Top,0.0
U3,38.86, 0.89,Top,270.0
U4,21.46,25.15,Top,270.0
U5,-29.03,-5.66,Top,0.0
U6, 0.00,-19.05,Top,180.0
U7,-26.39, 8.00,Top,0.0
U8,14.43,-16.03,Top,90.0
U9,-31.88, 1.27,Top,0.0
U10,-12.22,24.08,Top,0.0
U11,21.18,-1.60,Top,0.0
U12, 8.59,-1.60,Top,0.0
U13,-4.09,-1.60,Top,0.0
U14,-16.76,-1.60,Top,0.0
U15,19.00,11.89,Top,270.0
USB,24.31,27.71,Top,0.0
USR_BUTTON,-2.54,22.50,Top,180.0
XTAL1,-17.48,25.45,Top,90.0
Y1,11.30,11.00,Top,270.0
